"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/15/2023","AirNow","061072010","1","0.034","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/16/2023","AirNow","061072010","1","0.038","ppm","35","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/17/2023","AirNow","061072010","1","0.03","ppm","28","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/18/2023","AirNow","061072010","1","0.032","ppm","30","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/19/2023","AirNow","061072010","1","0.023","ppm","21","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/20/2023","AirNow","061072010","1","0.032","ppm","30","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/21/2023","AirNow","061072010","1","0.03","ppm","28","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/22/2023","AirNow","061072010","1","0.02","ppm","19","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/23/2023","AirNow","061072010","1","0.032","ppm","30","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/24/2023","AirNow","061072010","1","0.03","ppm","28","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/25/2023","AirNow","061072010","1","0.033","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/26/2023","AirNow","061072010","1","0.035","ppm","32","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/27/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/28/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/29/2023","AirNow","061072010","1","0.035","ppm","32","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/30/2023","AirNow","061072010","1","0.018","ppm","17","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/31/2023","AirNow","061072010","1","0.029","ppm","27","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/01/2023","AirNow","061072010","1","0.029","ppm","27","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/02/2023","AirNow","061072010","1","0.026","ppm","24","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/03/2023","AirNow","061072010","1","0.034","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/04/2023","AirNow","061072010","1","0.038","ppm","35","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/05/2023","AirNow","061072010","1","0.037","ppm","34","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/06/2023","AirNow","061072010","1","0.032","ppm","30","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/07/2023","AirNow","061072010","1","0.031","ppm","29","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/08/2023","AirNow","061072010","1","0.035","ppm","32","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/09/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/10/2023","AirNow","061072010","1","0.037","ppm","34","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/11/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/12/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/13/2023","AirNow","061072010","1","0.042","ppm","39","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/14/2023","AirNow","061072010","1","0.037","ppm","34","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"02/16/2023","AirNow","061072010","1","0.034","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
